,x,y,time,theta
380.0,5.5,932.0,22.999215602874756,0.382407800831477
381.0,5.5,1041.0,23.07144808769226,0.4551801126388753
382.0,5.5,1041.0,23.094384908676147,0.4551801126388753
383.0,5.5,907.5,23.183175086975098,0.3657806423325149
384.0,5.5,907.5,23.205183744430542,0.3657806423325149
385.0,5.5,879.5,23.278985261917114,0.3466605416165884
386.0,5.5,879.5,23.304561614990234,0.3466605416165884
387.0,5.5,950.0,23.3759925365448,0.39456156303016904
388.0,5.5,950.0,23.397968530654907,0.39456156303016904
389.0,5.5,857.0,23.487718105316162,0.3312067225485357
390.0,5.5,857.0,23.51065754890442,0.3312067225485357
391.0,5.5,847.0,23.59995675086975,0.32431312628584547
392.0,5.5,847.0,23.621896505355835,0.32431312628584547
393.0,5.5,973.5,23.71201801300049,0.41034878049717644
394.0,5.5,973.5,23.740939378738403,0.41034878049717644
395.0,5.5,923.0,23.812440872192383,0.376311129938885
396.0,5.5,923.0,23.844382286071777,0.376311129938885
397.0,5.5,918.0,23.92010760307312,0.37291842584139595
398.0,5.5,918.0,23.942060708999634,0.37291842584139595
399.0,5.5,890.5,24.032100200653076,0.3541868419807351
400.0,5.5,890.5,24.05703639984131,0.3541868419807351
401.0,5.5,887.0,24.161269187927246,0.3517941827537699
402.0,5.5,887.0,24.193182706832886,0.3517941827537699
403.0,5.5,909.0,24.271742343902588,0.36680140959104196
404.0,5.5,909.0,24.29567861557007,0.36680140959104196
405.0,5.5,921.5,24.3835871219635,0.3752937426631204
406.0,5.5,921.5,24.409064292907715,0.3752937426631204
407.0,8.0,930.0,24.513237953186035,0.38105412075125206
408.0,8.0,930.0,24.54814600944519,0.38105412075125206
409.0,5.0,903.5,24.606990098953247,0.36305683530901683
410.0,5.0,903.5,24.63491439819336,0.36305683530901683
411.0,5.5,930.0,24.71968650817871,0.38105412075125206
412.0,5.5,930.0,24.748608112335205,0.38105412075125206
413.0,5.5,903.5,24.835379123687744,0.36305683530901683
414.0,5.5,903.5,24.8842453956604,0.36305683530901683
415.0,5.5,906.0,24.948076486587524,0.3647595146793335
416.0,5.5,906.0,25.000970602035522,0.3647595146793335
417.0,5.0,937.0,25.03883194923401,0.3857891539577754
418.0,5.0,937.0,25.064796447753906,0.3857891539577754
419.0,5.5,906.0,25.139564514160156,0.3647595146793335
420.0,5.5,906.0,25.195448398590088,0.3647595146793335
421.0,5.0,891.0,25.247540712356567,0.3545284921181709
422.0,5.0,891.0,25.27250838279724,0.3545284921181709
423.0,5.5,939.5,25.344461679458618,0.3874783024582748
424.0,5.5,939.5,25.369429349899292,0.3874783024582748
425.0,5.0,872.5,25.43947196006775,0.34186116104500536
426.0,5.0,872.5,25.462445735931396,0.34186116104500536
427.0,5.5,884.0,25.535587072372437,0.3497417907199039
428.0,5.5,884.0,25.5585618019104,0.3497417907199039
429.0,5.0,909.5,25.647995710372925,0.3671415851972582
430.0,5.0,909.5,25.669935941696167,0.3671415851972582
431.0,5.0,931.0,25.74342107772827,0.38173104204012104
432.0,5.0,931.0,25.76635766029358,0.38173104204012104
433.0,5.5,919.0,25.84020209312439,0.3735972895087513
434.0,5.5,919.0,25.862102031707764,0.3735972895087513
435.0,8.5,920.5,25.935460805892944,0.3746152824940437
436.0,8.5,920.5,25.958435535430908,0.3746152824940437
437.0,5.0,879.5,26.04836654663086,0.3466605416165884
438.0,5.0,879.5,26.07127356529236,0.3466605416165884
439.0,5.0,836.0,26.143877744674683,0.31671242275785777
440.0,5.0,836.0,26.16681671142578,0.31671242275785777
441.0,5.0,854.5,26.239652633666992,0.32948477055242603
442.0,5.0,854.5,26.262625455856323,0.32948477055242603
443.0,5.5,920.0,26.35145878791809,0.37427599185084287
444.0,5.5,920.0,26.374396085739136,0.37427599185084287
445.0,5.0,860.0,26.46421980857849,0.33327178753646086
446.0,5.0,860.0,26.49417757987976,0.33327178753646086
447.0,5.0,907.5,26.576536893844604,0.3657806423325149
448.0,5.0,907.5,26.605493307113647,0.3657806423325149
449.0,5.5,908.0,26.67094326019287,0.3661209381460557
450.0,5.5,908.0,26.69388246536255,0.3661209381460557
451.0,5.5,889.5,26.78527593612671,0.35350342289779096
452.0,5.5,889.5,26.81320571899414,0.35350342289779096
453.0,5.0,906.0,26.895714282989502,0.3647595146793335
454.0,5.0,906.0,26.918686866760254,0.3647595146793335
455.0,5.5,895.0,26.992323398590088,0.35726026580064035
456.0,5.5,895.0,27.01662564277649,0.35726026580064035
457.0,5.0,900.5,27.088195323944092,0.36101230210807317
458.0,5.0,900.5,27.11116862297058,0.36101230210807317
459.0,5.5,845.5,27.199886083602905,0.32327775844600887
460.0,5.5,845.5,27.22433567047119,0.32327775844600887
461.0,13.5,913.5,27.295409440994263,0.36986154559606815
462.0,13.5,913.5,27.31735348701477,0.36986154559606815
463.0,5.5,912.0,27.39167284965515,0.3688418615620895
464.0,5.5,912.0,27.41461205482483,0.3688418615620895
465.0,5.5,853.0,27.503763675689697,0.328451135621423
466.0,5.5,853.0,27.5267391204834,0.328451135621423
467.0,5.0,932.5,27.600276947021484,0.3827461192604494
468.0,5.0,932.5,27.62325119972229,0.3827461192604494
469.0,13.076271057128906,801.5678100585938,27.69654393196106,0.29280218682500586
470.0,13.076271057128906,801.5678100585938,27.718454122543335,0.29280218682500586
471.0,5.5,976.5,27.791340827941895,0.41235757890822505
472.0,5.5,976.5,27.815266847610474,0.41235757890822505
473.0,5.0,902.0,27.904550313949585,0.36203474827690235
474.0,5.0,902.0,27.930482149124146,0.36203474827690235
475.0,11.0,924.0,28.000189542770386,0.37698918599424985
